vaccine,dose,age_months,age_label,notes
BCG,Dose 1,0,Birth,"Given at birth in TB-burdened settings"
Hepatitis B,Dose 1,0,Birth,"Birth dose within 24 hours"
Oral Polio (bOPV),Dose 0,0,Birth,"If using OPV schedule; may be omitted where IPV-only is used"
DTP-HepB-Hib,Dose 1,1.5,6 weeks,"Pentavalent; first primary dose"
Pneumococcal (PCV),Dose 1,1.5,6 weeks,"First primary dose (3-dose primary schedule)"
Rotavirus,Dose 1,1.5,6 weeks,"Start series on time; product-specific max age applies"
Oral Polio (bOPV),Dose 1,1.5,6 weeks,"If using OPV schedule"
DTP-HepB-Hib,Dose 2,2.5,10 weeks,"Second primary dose"
Pneumococcal (PCV),Dose 2,2.5,10 weeks,"Second primary dose"
Rotavirus,Dose 2,2.5,10 weeks,"Second dose; if 3-dose product, give a third at 14 weeks"
Oral Polio (bOPV),Dose 2,2.5,10 weeks,"If using OPV schedule"
DTP-HepB-Hib,Dose 3,3.5,14 weeks,"Third primary dose"
Pneumococcal (PCV),Dose 3,3.5,14 weeks,"Third primary dose (for 3+0 schedule)"
Inactivated Polio (IPV),Dose 1,3.5,14 weeks,"IPV at or after 14 weeks; some programs give 2 IPV doses"
Oral Polio (bOPV),Dose 3,3.5,14 weeks,"If using OPV schedule"
Rotavirus,Dose 3,3.5,14 weeks,"Only if using 3-dose rotavirus product"
Measles-containing vaccine (MCV),Dose 1,9,9 months,"MCV1; measles or MMR depending on country"
Yellow fever,Dose 1,9,9 months,"In endemic countries"
Meningococcal A (MenA),Dose 1,9,9 months,"In MenA belt / at-risk settings"
Measles-containing vaccine (MCV),Dose 2,15,15 months,"MCV2 typically at 15–18 months"
Pneumococcal (PCV),Booster,12,12–15 months,"Booster if using 2+1 schedule instead of 3+0"
Hib,Booster,12,12–15 months,"Where a booster is used (program-dependent)"
DTP (or DTP-HepB-Hib),Booster 1,18,18 months,"First booster after primary series"
Polio (IPV or bOPV),Booster 1,18,18 months,"Booster after primary series; formulation depends on national policy"
DTP,Booster 2,54,4.5 years,"Second booster (given between 4–7 years; listed here at 54 months)"
Polio (IPV or bOPV),Booster 2,54,4.5 years,"Second booster (given between 4–7 years; listed here at 54 months)"
Influenza,Annual,6,6 months+,"Annual; two doses in first season if <9 years and vaccine-naive"
